1142;06-01-2010;3;15;26;28;31;58;0.00
1143;09-01-2010;3;30;35;44;47;60;0.00
1144;13-01-2010;1;10;18;19;44;49;0.00
1145;16-01-2010;3;16;19;24;33;60;0.00
1146;20-01-2010;6;10;28;33;34;53;0.00
1147;23-01-2010;6;23;31;33;39;52;0.00
1148;27-01-2010;27;28;29;32;48;55;0.00
1149;30-01-2010;7;8;23;36;46;54;0.00
2141;10/04/2019;10;11;17;19;37;41;0,00
2172;24/07/2019;9;24;28;37;43;57;0,00
2188;14/09/2019;2;17;21;28;51;60;0,00
2193;28/09/2019;7;8;22;27;29;42;0,00
2461;09/03/2022;8;11;16;21;32;37;0,00
2463;16/03/2022;11;16;31;37;42;51;0,00
2462;12/03/2022;3;16;23;41;45;57;0,00
2460;05/03/2022;16;17;18;28;35;47;0,00
2459;03/03/2022;15;24;33;49;53;59;0,00
2458;26/02/2022;15;40;44;45;47;51;0,00
2457;24/02/2022;10;19;46;47;49;50;0,00
2456;22/02/2022;28;34;40;41;52;50;0,00
2464;19/03/2022;2;7;24;43;52;56;0,00
2465;23/03/2022;3;8;23;29;53;54;0,00
2466;26/03/2022;2;3;13;20;53;54;0,00
2455;19/02/2022;21;38;50;53;56;59;0,00
2454;16/02/2022;9;14;22;24;44;47;0,00
2453;12/02/2022;10;14;15;24;34;44;0,00
2452;09/02/2022;8;10;51;56;57;58;0,00
2450;02/02/2022;2;6;11;15;17;39;0,00
2449;29/01/2022;14;20;21;31;49;52;0,00
2448;27/01/2022;18;30;32;35;40;48;0,00
2447;25/01/2022;13;19;29;42;49;52;0,00
2446;22/01/2022;1;13;27;41;51;58;0,00
2445;19/01/2022;11;25;32;37;47;56;0,00
2444;15/01/2022;15;17;20;35;37;43;0,00
2443;12/01/2022;1;5;12;13;17;31;0,00
2442;08/01/2022;2;7;9;25;41;49;0,00
2441;05/01/2022;9;41;42;46;47;54;0,00
2440;31/12/2021;12;15;23;32;33;46;0,00
2467;30/03/2022;1;10;19;34;35;45;0,00
1150;03/02/2010;15;17;28;31;35;52;0,00
1151;06/02/2010;1;4;14;21;25;51;0,00
1152;10/02/2010;14;20;29;36;44;47;0,00
2160;15/06/2019;1;19;46;47;49;53;0,00
2161;19/06/2019;8;9;10;24;42;44;0,00
2162;22/06/2019;11;16;22;30;34;42;0,00
2163;26/06/2019;8;18;20;24;36;45;0,00
2164;29/06/2019;16;17;25;47;48;58;0,00
2165;03/07/2019;5;37;43;49;54;56;0,00
2166;06/07/2019;3;19;34;44;56;58;0,00
2167;09/07/2019;27;37;38;43;45;54;0,00
2168;11/07/2019;1;4;25;27;29;37;0,00
2169;13/07/2019;7;34;45;51;54;59;0,00
2170;17/07/2019;10;21;24;36;38;51;0,00
2171;20/07/2019;12;13;19;36;44;55;0,00
2173;27/07/2019;2;9;42;44;48;50;0,00
